date,time,balance,equity,profit,floating_profit,drawdown,today_profit,yesterday_profit,week_profit,month_profit,total_profit,server,symbol,nickname,ip
2025-11-03,01:00:32,5139.01,234.39,-5354.62,-5354.62,96.19,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:02:25,5139.01,236.01,-5353.00,-5353.00,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:04:56,5139.01,236.19,-5352.82,-5352.82,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:07:37,5139.01,236.19,-5352.82,-5352.82,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:10:15,5139.01,236.19,-5352.82,-5352.82,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:13:00,5139.01,236.01,-5353.00,-5353.00,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:15:43,5139.01,236.01,-5353.00,-5353.00,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:18:19,5139.01,236.19,-5352.82,-5352.82,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:20:54,5139.01,236.01,-5353.00,-5353.00,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:23:37,5139.01,236.01,-5353.00,-5353.00,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:26:20,5139.01,236.01,-5353.00,-5353.00,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:29:22,5139.01,236.19,-5352.82,-5352.82,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:32:17,5139.01,236.19,-5352.82,-5352.82,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:35:09,5139.01,236.19,-5352.82,-5352.82,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:37:37,5139.01,236.19,-5352.82,-5352.82,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
2025-11-03,01:40:14,5139.01,236.01,-5353.00,-5353.00,96.16,0.00,0.00,0.00,0.00,701.06,VantageInternational-Live 7,XAUUSD,Gold40,222.110.106.215
